Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area
2025-04-08 19:57:30.301,496,127,65,598,479,0.95,194994
2025-04-08 19:57:30.513,497,124,60,598,479,0.96,198606
2025-04-08 19:57:30.696,498,112,44,598,479,0.96,211410
2025-04-08 19:57:30.893,499,101,30,600,479,0.96,224051
2025-04-08 19:57:31.071,500,89,29,599,479,0.96,229500
2025-04-08 19:57:31.243,501,83,25,604,479,0.95,236534
2025-04-08 19:57:31.414,502,78,28,603,479,0.95,236775
2025-04-08 19:57:31.585,503,79,32,638,479,0.95,249873
2025-04-08 19:57:31.758,504,87,33,638,479,0.96,245746
2025-04-08 19:57:31.932,505,89,34,638,479,0.97,244305
2025-04-08 19:57:32.105,506,91,35,638,479,0.97,242868
2025-04-08 19:57:32.281,507,95,32,638,479,0.97,242721
2025-04-08 19:57:32.453,508,89,25,638,478,0.97,248697
2025-04-08 19:57:32.625,509,81,14,638,479,0.96,259005
2025-04-08 19:57:32.799,510,125,4,637,479,0.95,243200
2025-04-08 19:57:32.971,511,116,0,622,479,0.95,242374
2025-04-08 19:57:33.142,512,111,1,633,479,0.95,249516
2025-04-08 19:57:33.327,513,102,0,629,479,0.95,252433
2025-04-08 19:57:33.501,514,91,0,624,479,0.95,255307
2025-04-08 19:57:33.669,515,90,0,619,479,0.95,253391
2025-04-08 19:57:33.859,516,87,0,627,479,0.96,258660
2025-04-08 19:57:34.061,517,103,0,637,479,0.95,255786
2025-04-08 19:57:34.232,518,105,0,629,479,0.95,250996
2025-04-08 19:57:34.406,519,108,7,625,479,0.95,244024
2025-04-08 19:57:34.576,520,113,17,620,479,0.95,234234
2025-04-08 19:57:34.747,521,109,23,619,479,0.96,232560
2025-04-08 19:59:32.412,1,126,43,637,479,0.92,222796,0.0,0.0,0,0
2025-04-08 19:59:32.641,2,134,73,623,479,0.96,198534,0.0,0.0,0,0
2025-04-08 19:59:32.869,3,135,70,629,479,0.95,202046,0.0,0.0,0,0
2025-04-08 19:59:33.068,4,131,63,637,479,0.96,210496,0.0,0.0,0,0
2025-04-08 19:59:33.244,5,124,57,639,479,0.95,217330,0.0,0.0,0,0
2025-04-08 19:59:33.417,6,113,38,638,479,0.95,231525,0.0,0.0,0,0
2025-04-08 19:59:33.590,7,109,39,636,479,0.95,231880,0.0,0.0,0,0
2025-04-08 19:59:33.765,8,111,48,631,479,0.95,224120,0.0,0.0,0,0
2025-04-08 19:59:33.939,9,113,58,622,479,0.95,214289,0.0,0.0,0,0
2025-04-08 19:59:34.111,10,117,65,615,479,0.95,206172,0.0,0.0,0,0
2025-04-08 19:59:34.333,11,121,66,614,479,0.95,203609,0.0,0.0,0,0
2025-04-08 19:59:34.499,12,125,66,615,479,0.95,202370,0.0,0.0,0,0
2025-04-08 19:59:34.676,13,125,65,618,479,0.95,204102,0.0,0.0,0,0
2025-04-08 19:59:34.843,14,122,64,619,479,0.95,206255,0.0,0.0,0,0
2025-04-08 19:59:35.019,15,119,57,621,479,0.95,211844,0.0,0.0,0,0
2025-04-08 19:59:35.189,16,115,50,622,479,0.95,217503,0.0,0.0,0,0
2025-04-08 19:59:35.367,17,116,48,623,479,0.95,218517,0.0,0.0,0,0
2025-04-08 19:59:35.535,18,118,45,628,479,0.95,221340,0.0,0.0,0,0
2025-04-08 19:59:35.709,19,122,46,631,479,0.95,220397,0.0,0.0,0,0
2025-04-08 19:59:35.881,20,124,44,635,479,0.96,222285,0.0,0.0,0,0
